body_mass,bill_length,bill_depth,flipper_length,species
5.3,5.13,1.42,21.8,Gentoo
4.875,4.75,1.4,21.2,Gentoo
5.55,5.21,1.7,23,Gentoo
4.95,4.75,1.5,21.8,Gentoo
5.4,5.22,1.71,22.8,Gentoo
4.75,4.55,1.45,21.2,Gentoo
5.65,4.95,1.61,22.4,Gentoo
4.85,4.45,1.47,21.4,Gentoo
5.2,5.08,1.57,22.6,Gentoo
4.925,4.94,1.58,21.6,Gentoo
4.875,4.69,1.46,22.2,Gentoo
4.625,4.84,1.44,20.3,Gentoo
5.25,5.11,1.65,22.5,Gentoo
4.85,4.85,1.5,21.9,Gentoo
5.6,5.59,1.7,22.8,Gentoo
4.975,4.72,1.55,21.5,Gentoo
5.5,4.91,1.5,22.8,Gentoo
4.725,4.73,1.38,21.6,Gentoo
5.5,4.68,1.61,21.5,Gentoo
4.7,4.17,1.47,21,Gentoo
5.5,5.34,1.58,21.9,Gentoo
4.575,4.33,1.4,20.8,Gentoo
5.5,4.81,1.51,20.9,Gentoo
5,5.05,1.52,21.6,Gentoo
5.95,4.98,1.59,22.9,Gentoo
4.65,4.35,1.52,21.3,Gentoo
5.5,5.15,1.63,23,Gentoo
4.375,4.62,1.41,21.7,Gentoo
5.85,5.51,1.6,23,Gentoo
4.875,4.45,1.57,21.7,Gentoo
6,4.88,1.62,22.2,Gentoo
4.925,4.72,1.37,21.4,Gentoo
4.85,4.68,1.43,21.5,Gentoo
5.75,5.04,1.57,22.2,Gentoo
5.2,4.52,1.48,21.2,Gentoo
5.4,4.99,1.61,21.3,Gentoo
3.5,4.65,1.79,19.2,Chinstrap
3.9,5,1.95,19.6,Chinstrap
3.65,5.13,1.92,19.3,Chinstrap
3.525,4.54,1.87,18.8,Chinstrap
3.725,5.27,1.98,19.7,Chinstrap
3.95,4.52,1.78,19.8,Chinstrap
3.25,4.61,1.82,17.8,Chinstrap
3.75,5.13,1.82,19.7,Chinstrap
4.15,4.6,1.89,19.5,Chinstrap
3.7,5.13,1.99,19.8,Chinstrap
3.8,4.66,1.78,19.3,Chinstrap
3.775,5.17,2.03,19.4,Chinstrap
3.7,4.7,1.73,18.5,Chinstrap
4.05,5.2,1.81,20.1,Chinstrap
3.575,4.59,1.71,19,Chinstrap
4.05,5.05,1.96,20.1,Chinstrap
3.3,5.03,2,19.7,Chinstrap
3.7,5.8,1.78,18.1,Chinstrap
3.45,4.64,1.86,19,Chinstrap
4.4,4.92,1.82,19.5,Chinstrap
3.6,4.24,1.73,18.1,Chinstrap
3.4,4.85,1.75,19.1,Chinstrap
2.9,4.32,1.66,18.7,Chinstrap
3.8,5.06,1.94,19.3,Chinstrap
3.3,4.67,1.79,19.5,Chinstrap
4.15,5.2,1.9,19.7,Chinstrap
3.4,5.05,1.84,20,Chinstrap
3.8,4.95,1.9,20,Chinstrap
3.7,4.64,1.78,19.1,Chinstrap
4.55,5.28,2,20.5,Chinstrap
3.2,4.09,1.66,18.7,Chinstrap
4.3,5.42,2.08,20.1,Chinstrap
3.35,4.25,1.67,18.7,Chinstrap
4.1,5.1,1.88,20.3,Chinstrap
3.6,4.97,1.86,19.5,Chinstrap
3.9,4.75,1.68,19.9,Chinstrap
3.85,4.76,1.83,19.5,Chinstrap
4.8,5.2,2.07,21,Chinstrap
2.7,4.69,1.66,19.2,Chinstrap
4.5,5.35,1.99,20.5,Chinstrap
3.95,4.9,1.95,21,Chinstrap
3.65,4.62,1.75,18.7,Chinstrap
3.55,5.09,1.91,19.6,Chinstrap
3.5,4.55,1.7,19.6,Chinstrap
3.675,5.09,1.79,19.6,Chinstrap
4.45,5.08,1.85,20.1,Chinstrap
3.4,5.01,1.79,19,Chinstrap
4.3,4.9,1.96,21.2,Chinstrap
3.25,5.15,1.87,18.7,Chinstrap
3.675,4.98,1.73,19.8,Chinstrap
3.325,4.81,1.64,19.9,Chinstrap
3.95,5.14,1.9,20.1,Chinstrap
3.6,4.57,1.73,19.3,Chinstrap
4.05,5.07,1.97,20.3,Chinstrap
3.35,4.25,1.73,18.7,Chinstrap
3.45,5.22,1.88,19.7,Chinstrap
3.25,4.52,1.66,19.1,Chinstrap
4.05,4.93,1.99,20.3,Chinstrap
3.8,5.02,1.88,20.2,Chinstrap
3.525,4.56,1.94,19.4,Chinstrap
3.95,5.19,1.95,20.6,Chinstrap
3.65,4.68,1.65,18.9,Chinstrap
3.65,4.57,1.7,19.5,Chinstrap
4,5.58,1.98,20.7,Chinstrap
3.4,4.35,1.81,20.2,Chinstrap
3.775,4.96,1.82,19.3,Chinstrap
4.1,5.08,1.9,21,Chinstrap
3.775,5.02,1.87,19.8,Chinstrap
