,             height,weight,age,male
91,91                 144.78,42.2691045,54.0,0
92,92                  156.845,47.62716,31.0,1
93,93                 179.07,55.7067675,23.0,1
94,94                  118.745,18.824068,9.0,0
95,95                 170.18,48.5626935,41.0,1
96,96                  146.05,42.807745,23.0,0
97,97                 147.32,35.0683315,36.0,0
98,98                  113.03,17.8885345,5.0,1
99,99                  162.56,56.755699,30.0,0
100,100                133.985,27.442316,12.0,1
101,101                  152.4,51.255896,34.0,0
102,102                 160.02,47.230267,44.0,1
103,103                 149.86,40.936678,43.0,0
104,104              142.875,32.715323,73.3,0
105,105               167.005,57.0675435,38.0,1
106,106                159.385,42.977842,43.0,1
107,107                154.94,39.9444455,33.0,0
108,108                148.59,32.4601775,16.0,0
109,109                111.125,17.123098,11.0,1
110,110                  111.76,16.499409,6.0,1
111,111                162.56,45.9545395,35.0,1
112,112                  152.4,41.106775,29.0,0
113,113                 124.46,18.257078,12.0,0
114,114                  111.76,15.081934,9.0,1
115,115   86.36,11.4815475,7.59999999999991,1
116,116                170.18,47.5988105,58.0,1
117,117                146.05,37.5063885,53.0,0
118,118                159.385,45.019006,51.0,1
119,119                151.13,42.2691045,48.0,0
120,120               160.655,54.8562825,29.0,1
121,121                169.545,53.523856,41.0,1
122,122             158.75,52.1914295,81.75,1
123,123                   74.295,9.752228,1.0,1
124,124                 149.86,42.410852,35.0,0
125,125               153.035,49.5832755,46.0,0
126,126                   96.52,13.097469,5.0,1
127,127                161.925,41.730464,29.0,1
128,128                 162.56,56.018612,42.0,1
129,129               149.225,42.1557065,27.0,0
130,130                  116.84,19.391058,8.0,0
131,131                 100.076,15.081934,6.0,1
132,132               163.195,53.0986135,22.0,1
133,133                161.925,50.235314,43.0,1
134,134                 145.415,42.52425,53.0,0
135,135                163.195,49.101334,43.0,1
136,136                 151.13,38.498621,41.0,0
137,137               150.495,49.8100715,50.0,0
138,138                141.605,29.313383,15.0,1
139,139                170.815,59.760746,33.0,1
140,140                  91.44,11.7083435,3.0,0
141,141                157.48,47.9390045,62.0,1
142,142                  152.4,39.292407,49.0,0
143,143               149.225,38.1300775,17.0,1
144,144                 129.54,21.999212,12.0,0
145,145                147.32,36.8826995,22.0,0
146,146                145.415,42.127357,29.0,0
147,147                  121.92,19.787951,8.0,0
148,148                 113.665,16.782904,5.0,1
149,149                 157.48,44.565414,33.0,1
150,150                154.305,47.853956,34.0,0
151,151                120.65,21.1770765,12.0,0
152,152                        115.6,18.9,7.0,1
153,153               167.005,55.1964765,42.0,1
154,154                142.875,32.998818,40.0,0
155,155                  152.4,40.879979,27.0,0
156,156                   96.52,13.267566,3.0,0
157,157                         160,51.2,25.0,1
158,158                159.385,49.044635,29.0,1
159,159                149.86,53.4388075,45.0,0
160,160                160.655,54.090846,26.0,1
161,161               160.655,55.3665735,45.0,1
162,162                149.225,42.240755,45.0,0
163,163               125.095,22.3677555,11.0,0
164,164   140.97,40.936678,85.5999999999999,0
165,165                154.94,49.6966735,26.0,1
166,166                141.605,44.338618,24.0,0
167,167                160.02,45.9545395,57.0,1
168,168                150.1648,41.95726,22.0,0
169,169                155.575,51.482692,24.0,0
170,170                 103.505,12.757275,6.0,0
171,171                 94.615,13.0124205,4.0,0
172,172                 156.21,44.111822,21.0,0
173,173                153.035,32.205032,79.0,0
174,174                167.005,56.755699,50.0,1
175,175                 149.86,52.673371,40.0,0
176,176               147.955,36.4858065,64.0,0
177,177               159.385,48.8461885,32.0,1
178,178             161.925,56.9541455,38.7,1
179,179               155.575,42.0990075,26.0,0
180,180                159.385,50.178615,63.0,1
181,181                146.685,46.549879,62.0,0
182,182                  172.72,61.80191,22.0,1
183,183                 166.37,48.987936,41.0,1
184,184                141.605,31.524644,19.0,1
185,185                142.875,32.205032,17.0,0
186,186                 133.35,23.756881,14.0,0
187,187                127.635,24.4089195,9.0,1
188,188                 119.38,21.5172705,7.0,1
189,189               151.765,35.2951275,74.0,0
190,190                156.845,45.642695,41.0,1
191,191                 148.59,43.885026,33.0,0
192,192                157.48,45.5576465,53.0,0
193,193                 149.86,39.008912,18.0,0
194,194                147.955,41.163474,37.0,0
195,195                102.235,13.1258185,6.0,0
196,196                153.035,45.245802,61.0,0
197,197                160.655,53.637254,44.0,1
198,198               149.225,52.3048275,35.0,0
199,199                  114.3,18.3421265,7.0,1
200,200                100.965,13.7495075,4.0,1
201,201                138.43,39.0939605,23.0,0
202,202                   91.44,12.530479,4.0,1
203,203                 162.56,45.699394,55.0,1
204,204               149.225,40.3980375,53.0,0
205,205                 158.75,51.482692,59.0,1
206,206                 149.86,38.668718,57.0,0
207,207                158.115,39.235708,35.0,1
208,208                 156.21,44.338618,29.0,0
209,209                 148.59,39.519203,62.0,1
210,210                 143.51,31.071052,18.0,0
211,211                154.305,46.776675,51.0,0
212,212                131.445,22.509503,14.0,0
213,213                157.48,40.6248335,19.0,1
214,214                 157.48,50.178615,42.0,1
215,215                154.305,41.276872,25.0,0
216,216                   107.95,17.57669,6.0,1
217,217                     168.275,54.6,41.0,1
218,218               145.415,44.9906565,37.0,0
219,219                147.955,44.735511,16.0,0
220,220                 100.965,14.401546,5.0,1
221,221                  113.03,19.050864,9.0,1
222,222               149.225,35.8054185,82.0,1
223,223                154.94,45.2174525,28.0,1
224,224                162.56,48.1091015,50.0,1
225,225               156.845,45.6710445,43.0,0
226,226                  123.19,20.808533,8.0,1
227,227               161.0106,48.420946,31.0,1
228,228                144.78,41.1918235,67.0,0
229,229                143.51,38.4135725,39.0,0
230,230                149.225,42.127357,18.0,0
231,231                110.49,17.6617385,11.0,0
232,232                149.86,38.2434755,48.0,0
233,233               165.735,48.3358975,30.0,1
234,234               144.145,38.9238635,64.0,0
235,235                 157.48,40.029494,72.0,1
236,236               154.305,50.2069645,68.0,0
237,237                163.83,54.2892925,44.0,1
238,238                      156.21,45.6,43.0,0
239,239                 153.67,40.766581,16.0,0
240,240                134.62,27.1304715,13.0,0
241,241               144.145,39.4341545,34.0,0
242,242                 114.3,20.4966885,10.0,0
243,243                 162.56,43.204638,62.0,1
244,244                 146.05,31.864838,44.0,0
245,245                120.65,20.8935815,11.0,1
246,246                154.94,45.4442485,31.0,1
247,247                 144.78,38.045029,29.0,0
248,248                  106.68,15.989118,8.0,0
249,249               146.685,36.0889135,62.0,0
250,250                  152.4,40.879979,67.0,0
251,251                 163.83,47.910655,57.0,1
252,252               165.735,47.7122085,32.0,1
253,253                 156.21,46.379782,24.0,0
254,254                  152.4,41.163474,77.0,1
255,255               140.335,36.5992045,62.0,0
256,256                 158.115,43.09124,17.0,1
257,257                163.195,48.137451,67.0,1
258,258                151.13,36.7126025,70.0,0
259,259              171.1198,56.5572525,37.0,1
260,260                149.86,38.6970675,58.0,0
261,261                163.83,47.4854125,35.0,1
262,262               141.605,36.2023115,30.0,0
263,263                   93.98,14.288148,5.0,0
264,264                149.225,41.276872,26.0,0
265,265                 105.41,15.2236815,5.0,0
266,266                146.05,44.7638605,21.0,0
267,267                161.29,50.4337605,41.0,1
268,268                 162.56,55.281525,46.0,1
269,269                145.415,37.931631,49.0,0
270,270                145.415,35.493574,15.0,1
271,271                170.815,58.456669,28.0,1
272,272                    127,21.488921,12.0,0
273,273               159.385,44.4236665,83.0,0
274,274                       159.4,44.4,54.0,1
275,275                 153.67,44.565414,54.0,0
276,276                 160.02,44.622113,68.0,1
277,277                150.495,40.483086,68.0,0
278,278               149.225,44.0834725,56.0,0
279,279                   127,24.4089195,15.0,0
280,280                142.875,34.416293,57.0,0
281,281                142.113,32.772022,22.0,0
282,282                 147.32,35.947166,40.0,0
283,283                   162.56,49.5549,19.0,1
284,284                164.465,53.183662,41.0,1
285,285   160.02,37.081146,75.9000000000001,1
286,286  153.67,40.5114355,73.9000000000001,0
287,287               167.005,50.6038575,49.0,1
288,288                151.13,43.9700745,26.0,1
289,289                147.955,33.792604,17.0,0
290,290               125.3998,21.375523,13.0,0
291,291                 111.125,16.669506,8.0,0
292,292                    153.035,49.89,88.0,1
293,293               139.065,33.5941575,68.0,0
294,294                 152.4,43.8566765,33.0,1
295,295                 154.94,48.137451,26.0,0
296,296                147.955,42.751046,56.0,0
297,297                143.51,34.8415355,16.0,1
298,298                117.983,24.097075,13.0,0
299,299                144.145,33.906002,34.0,0
300,300                   92.71,12.076887,5.0,0
301,301                147.955,41.276872,17.0,0
302,302               155.575,39.7176495,74.0,1
303,303                150.495,35.947166,69.0,0
304,304                155.575,50.915702,50.0,1
305,305                154.305,45.756093,44.0,0
306,306              130.6068,25.2594045,15.0,0
307,307                  101.6,15.3370795,5.0,0
308,308                 157.48,49.214732,18.0,0
309,309                168.91,58.8252125,41.0,1
310,310               150.495,43.4597835,27.0,0
311,311  111.76,17.8318355,8.90000000000009,1
312,312                160.02,51.9646335,38.0,1
313,313                 167.64,50.688906,57.0,1
314,314              144.145,34.246196,64.5,0
315,315               145.415,39.3774555,42.0,0
316,316                160.02,59.5622995,24.0,1
317,317                 147.32,40.312989,16.0,1
318,318                 164.465,52.16308,71.0,1
319,319              153.035,39.972795,49.5,0
320,320                149.225,43.941725,33.0,1
321,321                 160.02,54.601137,28.0,0
322,322                149.225,45.075705,47.0,0
323,323                   85.09,11.453198,3.0,1
324,324                 84.455,11.7650425,1.0,1
325,325                  59.6138,5.896696,1.0,0
326,326                  92.71,12.1052365,3.0,1
327,327                 111.125,18.313777,6.0,0
328,328                 90.805,11.3681495,5.0,0
329,329                 153.67,41.333571,27.0,0
330,330                 99.695,16.2442635,5.0,0
331,331                    62.484,6.80388,1.0,0
332,332                 81.915,11.8784405,2.0,1
333,333                   96.52,14.968536,2.0,0
334,334                    80.01,9.865626,1.0,1
335,335                150.495,41.900561,55.0,0
336,336     151.765,42.524,83.4000000000001,1
337,337               140.6398,28.859791,12.0,1
338,338                 88.265,12.7856245,2.0,0
339,339                158.115,43.147939,63.0,1
340,340                 149.225,40.82328,52.0,0
341,341                151.765,42.864444,49.0,1
342,342                 154.94,46.209685,31.0,0
343,343                 123.825,20.581737,9.0,0
344,344                   104.14,15.87572,6.0,0
345,345                 161.29,47.853956,35.0,1
346,346                  148.59,42.52425,35.0,0
347,347                  97.155,17.066399,7.0,0
348,348                 93.345,13.1825175,5.0,1
349,349               160.655,48.5059945,24.0,1
350,350                 157.48,45.869491,41.0,1
351,351                167.005,52.900167,32.0,1
352,352                 157.48,47.570461,43.0,1
353,353                   91.44,12.927372,6.0,0
354,354                     60.452,5.6699,1.0,1
355,355                  137.16,28.91649,15.0,1
356,356                  152.4,43.544832,63.0,0
357,357                  152.4,43.431434,21.0,0
358,358                   81.28,11.509897,1.0,1
359,359                 109.22,11.7083435,2.0,0
360,360                    71.12,7.540967,1.0,1
361,361                 89.2048,12.700576,3.0,0
362,362                    67.31,7.200773,1.0,0
363,363                   85.09,12.360382,1.0,1
364,364                   69.85,7.7961125,1.0,0
365,365               161.925,53.2120115,55.0,0
366,366                  152.4,44.678812,38.0,0
367,367                   88.9,12.5588285,3.0,1
368,368                   90.17,12.700576,3.0,1
369,369                    71.755,7.37087,1.0,0
370,370                   83.82,9.2135875,1.0,0
371,371               159.385,47.2019175,28.0,1
372,372                 142.24,28.632995,16.0,0
373,373                142.24,31.6663915,36.0,0
374,374                168.91,56.4438545,38.0,1
375,375                 123.19,20.014747,12.0,1
376,376                     74.93,8.50485,1.0,1
377,377                  74.295,8.3064035,1.0,0
378,378                  90.805,11.623295,3.0,0
379,379                 160.02,55.791816,48.0,1
380,380                  67.945,7.9662095,1.0,0
381,381                  135.89,27.21552,15.0,0
382,382               158.115,47.4854125,45.0,1
383,383                  85.09,10.8011595,3.0,1
384,384                  93.345,14.004653,3.0,0
385,385                 152.4,45.1607535,38.0,0
386,386                155.575,45.529297,21.0,0
387,387                154.305,48.874538,50.0,0
388,388               156.845,46.5782285,41.0,1
389,389                120.015,20.128145,13.0,0
390,390                    114.3,18.14368,8.0,1
391,391                  83.82,10.9145575,3.0,1
392,392                 156.21,43.885026,30.0,0
393,393                 137.16,27.158821,12.0,1
394,394                   114.3,19.050864,7.0,1
395,395                   93.98,13.834556,4.0,0
396,396               168.275,56.0469615,21.0,1
397,397                147.955,40.086193,38.0,0
398,398                 139.7,26.5634815,15.0,1
399,399                 157.48,50.802304,19.0,0
400,400                    76.2,9.2135875,1.0,1
401,401                   66.04,7.5693165,1.0,1
402,402                       160.7,46.3,31.0,1
403,403                  114.3,19.4194075,8.0,0
404,404                146.05,37.9032815,16.0,1
405,405                161.29,49.3564795,21.0,1
406,406                    69.85,7.314171,0.0,0
407,407               133.985,28.1510535,13.0,1
408,408                   67.945,7.824462,0.0,1
409,409                150.495,44.111822,50.0,0
410,410                  163.195,51.0291,39.0,1
411,411                 148.59,40.766581,44.0,1
412,412                148.59,37.5630875,36.0,0
413,413                 161.925,51.59609,36.0,1
414,414                153.67,44.8205595,18.0,0
415,415                   68.58,8.0229085,0.0,0
416,416                151.13,43.4030845,58.0,0
417,417                 163.83,46.719976,58.0,1
418,418               153.035,39.5475525,33.0,0
419,419             151.765,34.7848365,21.5,0
420,420                 132.08,22.792998,11.0,1
421,421                 156.21,39.292407,26.0,1
422,422               140.335,37.4496895,22.0,0
423,423                158.75,48.6760915,28.0,1
424,424                142.875,35.606972,42.0,0
425,425                  84.455,9.3836845,2.0,1
426,426               151.9428,43.714929,21.0,1
427,427                  161.29,48.19415,19.0,1
428,428              127.9906,29.8520235,13.0,1
429,429               160.9852,50.972401,48.0,1
430,430                 144.78,43.998424,46.0,0
431,431                 132.08,28.292801,11.0,1
432,432                 117.983,20.354941,8.0,1
433,433                  160.02,48.19415,25.0,1
434,434                 154.94,39.179009,16.0,1
435,435              160.9852,46.6916265,51.0,1
436,436                165.989,56.415505,25.0,1
437,437                157.988,48.591043,28.0,1
438,438                154.94,48.2224995,26.0,0
439,439                97.9932,13.2959155,5.0,1
440,440                  64.135,6.6621325,1.0,0
441,441               160.655,47.4854125,54.0,1
442,442                 147.32,35.550273,66.0,0
443,443                       146.7,36.6,20.0,0
444,444                147.32,48.9595865,25.0,0
445,445               172.9994,51.255896,38.0,1
446,446               158.115,46.5215295,51.0,1
447,447                 147.32,36.967748,48.0,0
448,448               124.9934,25.117657,13.0,1
449,449                 106.045,16.272613,6.0,1
450,450                165.989,48.647742,27.0,1
451,451                 149.86,38.045029,22.0,0
452,452                      76.2,8.50485,1.0,0
453,453                161.925,47.286966,60.0,1
454,454                 140.0048,28.3495,15.0,0
455,455                  66.675,8.1363065,0.0,0
456,456                   62.865,7.200773,0.0,1
457,457                 163.83,55.394923,43.0,1
458,458                147.955,32.488527,12.0,1
459,459                 160.02,54.204244,27.0,1
460,460                 154.94,48.477645,30.0,1
461,461                 152.4,43.0628905,29.0,0
462,462                    62.23,7.257472,0.0,0
463,463                 146.05,34.189497,23.0,0
464,464               151.9936,49.951819,30.0,0
465,465                157.48,41.3052215,17.0,1
466,466                   55.88,4.8477645,0.0,0
467,467                     60.96,6.23689,0.0,1
468,468                151.765,44.338618,41.0,0
469,469                  144.78,33.45241,42.0,0
470,470                  118.11,16.896302,7.0,0
471,471                   78.105,8.221355,3.0,0
472,472                160.655,47.286966,43.0,1
473,473                151.13,46.1246365,35.0,0
474,474                 121.92,20.184844,10.0,0
475,475                   92.71,12.757275,3.0,1
476,476               153.67,47.400364,75.5,1
477,477                147.32,40.8516295,64.0,0
478,478                  139.7,50.348712,38.0,1
479,479               157.48,45.132404,24.2,0
480,480                   91.44,11.623295,4.0,0
481,481                 154.94,42.240755,26.0,1
482,482                143.51,41.6454155,19.0,0
483,483                  83.185,9.1568885,2.0,1
484,484               158.115,45.2174525,43.0,1
485,485                 147.32,51.255896,38.0,0
486,486                123.825,21.205426,10.0,1
487,487                   88.9,11.5949455,3.0,1
488,488                 160.02,49.271431,23.0,1
489,489                 137.16,27.952607,16.0,0
490,490                  165.1,51.199197,49.0,1
491,491                154.94,43.8566765,41.0,0
492,492                 111.125,17.690088,6.0,1
493,493                153.67,35.5219235,23.0,0
494,494                145.415,34.246196,14.0,0
495,495                 141.605,42.88542,43.0,0
496,496                 144.78,32.545226,15.0,0
497,497                 163.83,46.776675,21.0,1
498,498                161.29,41.8722115,24.0,1
499,499                       154.9,38.2,20.0,1
500,500                       161.3,43.3,20.0,1
501,501                 170.18,53.637254,34.0,1
502,502                 149.86,42.977842,29.0,0
503,503                 123.825,21.54562,11.0,1
504,504                  85.09,11.4248485,3.0,0
505,505               160.655,39.7743485,65.0,1
506,506                154.94,43.3463855,46.0,0
507,507                 106.045,15.478827,8.0,0
508,508               126.365,21.9141635,15.0,1
509,509                 166.37,52.673371,43.0,1
510,510               148.2852,38.441922,39.0,0
511,511                  124.46,19.27766,12.0,0
512,512                  89.535,11.113004,3.0,1
513,513                   101.6,13.494362,4.0,0
514,514                151.765,42.807745,43.0,0
515,515                 148.59,35.890467,70.0,0
516,516                  153.67,44.22522,26.0,0
517,517                   53.975,4.252425,0.0,0
518,518               146.685,38.0733785,48.0,0
519,519                   56.515,5.159609,0.0,0
520,520                100.965,14.3164975,5.0,1
521,521                 121.92,23.2182405,8.0,1
522,522                 81.5848,10.659412,3.0,0
523,523                 154.94,44.111822,44.0,1
524,524                156.21,44.0267735,33.0,0
525,525               132.715,24.9759095,15.0,1
526,526               125.095,22.5945515,12.0,0
527,527                   101.6,14.344847,5.0,0
528,528               160.655,47.8823055,41.0,1
529,529               146.05,39.405805,37.4,0
530,530                132.715,24.777463,13.0,0
531,531                   87.63,10.659412,6.0,0
532,532                 156.21,41.050076,53.0,1
533,533                   152.4,40.82328,49.0,0
534,534                162.56,47.0318205,27.0,0
535,535                 114.935,17.519991,7.0,1
536,536                  67.945,7.2291225,1.0,0
537,537                142.875,34.246196,31.0,0
538,538                  76.835,8.0229085,1.0,1
539,539                145.415,31.127751,17.0,1
540,540                  162.56,52.16308,31.0,1
541,541                156.21,54.0624965,21.0,0
542,542                    71.12,8.051258,0.0,1
543,543                158.75,52.5316235,68.0,1
